subject  sessionIndex  rep              H.h           DD.h.e           UD.h.e              H.e           DD.e.s           UD.e.s              H.s           DD.s.t           UD.s.t              H.t           DD.t.e           UD.t.e            H.e.1           DD.e.r           UD.e.r              H.r      DD.r.Return      UD.r.Return         H.Return
   s007             1    9           0.0795           0.1201           0.0406           0.0792           0.1698           0.0906           0.1037           0.1995           0.0958           0.0628           0.1644           0.1016           0.1062           0.0697          -0.0365           0.0819           0.1982           0.1163           0.1048
   s007             1   10           0.0697           0.1301           0.0604           0.0818           0.1753           0.0935           0.0940           0.2000           0.1060           0.0531           0.1590           0.1059           0.1051           0.0779          -0.0272           0.0837           0.2277           0.1440           0.1008
   s007             1   11           0.0758           0.3478           0.2720           0.0752           0.1761           0.1009           0.0813           0.1763           0.0950           0.0486           0.1513           0.1027           0.0993           0.0718          -0.0275           0.0782           0.2112           0.1330           0.0847
   s007             1   12           0.0850           0.1185           0.0335           0.1109           0.1786           0.0677           0.0998           0.1932           0.0934           0.0549           0.1544           0.0995           0.0916           0.0536          -0.0380           0.0829           0.3272           0.2443           0.0969
   s007             1   13           0.0810           0.0897           0.0087           0.0971           0.1777           0.0806           0.0916           0.1921           0.1005           0.0655           0.1537           0.0882           0.0829           0.0491          -0.0338           0.0747           0.1496           0.0749           0.1124
   s007             1   14           0.0708           0.1111           0.0403           0.0987           0.1904           0.0917           0.1064           0.2053           0.0989           0.0620           0.1536           0.0916           0.0956           0.0605          -0.0351           0.0953           0.1404           0.0451           0.1024
   s007             1   15           0.0855           0.1221           0.0366           0.0810           0.1653           0.0843           0.0763           0.1736           0.0973           0.0620           0.1628           0.1008           0.0988           0.0650          -0.0338           0.0927           0.2001           0.1074           0.0993
   s007             1   16           0.0850           0.1206           0.0356           0.1069           0.1896           0.0827           0.1180           0.1932           0.0752           0.0607           0.1660           0.1053           0.1146           0.0787          -0.0359           0.0969           0.1467           0.0498           0.0953
   s007             1   17           0.0837           0.2146           0.1309           0.1188           0.3569           0.2381           0.1051           0.2317           0.1266           0.0549           0.5041           0.4492           0.1318           0.0734          -0.0584           0.1014           0.2732           0.1718           0.0826
   s007             1   18           0.0737           0.0811           0.0074           0.0821           0.1669           0.0848           0.0966           0.2185           0.1219           0.0544           0.1597           0.1053           0.0990           0.0599          -0.0391           0.0703           0.1130           0.0427           0.1074
   s007             1   19           0.0650           0.0795           0.0145           0.0755           0.1495           0.0740           0.1077           0.2304           0.1227           0.0465           0.1597           0.1132           0.0909           0.0618          -0.0291           0.0682           0.1001           0.0319           0.1061
   s007             1   20           0.0636           0.1900           0.1264           0.0837           0.1733           0.0896           0.0813           0.2182           0.1369           0.0499           0.1974           0.1475           0.0998           0.0692          -0.0306           0.0847           0.1213           0.0366           0.1022
   s007             1   21           0.0412           0.2705           0.2293           0.0855           0.1756           0.0901           0.1077           0.2222           0.1145           0.0486           0.1806           0.1320           0.0969           0.0684          -0.0285           0.0781           0.1512           0.0731           0.1138
   s007             1   22           0.0671           0.1304           0.0633           0.0871           0.1880           0.1009           0.0995           0.1734           0.0739           0.0731           0.1679           0.0948           0.1048           0.0673          -0.0375           0.0977           0.1143           0.0166           0.1027
   s007             1   23           0.0813           0.1713           0.0900           0.1085           0.1814           0.0729           0.1011           0.1884           0.0873           0.0697           0.1544           0.0847           0.0969           0.0639          -0.0330           0.0731           0.1464           0.0733           0.1093
   s007             1   24           0.0562           0.0723           0.0161           0.0916           0.1714           0.0798           0.0979           0.2203           0.1224           0.0650           0.1809           0.1159           0.1011           0.0620          -0.0391           0.0887           0.1676           0.0789           0.0879
   s007             1   25           0.0615           0.0863           0.0248           0.0797           0.1695           0.0898           0.1259           0.2591           0.1332           0.0620           0.2164           0.1544           0.1143           0.0610          -0.0533           0.0940           0.1713           0.0773           0.0929
   s007             1   26           0.0663           0.1394           0.0731           0.0929           0.1893           0.0964           0.1167           0.2270           0.1103           0.0789           0.2038           0.1249           0.1096           0.0673          -0.0423           0.1062           0.2294           0.1232           0.1027
   s007             1   27           0.0636           0.1158           0.0522           0.0837           0.1796           0.0959           0.1014           0.1929           0.0915           0.0607           0.1726           0.1119           0.1019           0.0665          -0.0354           0.0951           0.1278           0.0327           0.1053
   s007             1   28           0.0694           0.1132           0.0438           0.0847           0.1896           0.1049           0.1341           0.2277           0.0936           0.0623           0.3106           0.2483           0.1233           0.0626          -0.0607           0.1154           0.1584           0.0430           0.1066
   s007             1   29           0.0723           0.1097           0.0374           0.0887           0.1996           0.1109           0.1196           0.1961           0.0765           0.0636           0.3967           0.3331           0.1471           0.0948          -0.0523           0.0975           0.2389           0.1414           0.0784
   s007             1   30           0.0824           0.1053           0.0229           0.0808           0.1595           0.0787           0.0626           0.1797           0.1171           0.0597           0.1714           0.1117           0.0848           0.0531          -0.0317           0.0829           0.0953           0.0124           0.0961
   s007             1   31           0.0721           0.1465           0.0744           0.0953           0.1843           0.0890           0.1146           0.2251           0.1105           0.0420           0.2231           0.1811           0.1131           0.0613          -0.0518           0.0761           0.1750           0.0989           0.0810
   s007             1   32           0.0771           0.1399           0.0628           0.1000           0.2035           0.1035           0.1114           0.1985           0.0871           0.0647           0.1457           0.0810           0.0961           0.0591          -0.0370           0.0814           0.1605           0.0791           0.0821
   s007             1   33           0.0818           0.1446           0.0628           0.1069           0.1975           0.0906           0.0977           0.1858           0.0881           0.0525           0.1515           0.0990           0.0929           0.0615          -0.0314           0.0737           0.1061           0.0324           0.0956
   s007             1   34           0.0681           0.0963           0.0282           0.0945           0.1856           0.0911           0.0826           0.1939           0.1113           0.0584           0.1730           0.1146           0.1043           0.0702          -0.0341           0.0676           0.1011           0.0335           0.0803
   s007             1   35           0.0644           0.1251           0.0607           0.1016           0.1832           0.0816           0.1119           0.1995           0.0876           0.0584           0.1524           0.0940           0.0890           0.0576          -0.0314           0.0866           0.1042           0.0176           0.0866
   s007             1   36           0.0700           0.1132           0.0432           0.1341           0.1965           0.0624           0.1167           0.1858           0.0691           0.0737           0.1598           0.0861           0.0998           0.0647          -0.0351           0.0866           0.1256           0.0390           0.1140
   s007             1   37           0.0650           0.0935           0.0285           0.1114           0.1843           0.0729           0.0998           0.1995           0.0997           0.0570           0.1594           0.1024           0.1051           0.0623          -0.0428           0.0943           0.1536           0.0593           0.1103
   s007             1   38           0.0671           0.0800           0.0129           0.1219           0.2521           0.1302           0.1689           0.3093           0.1404           0.0869           0.1967           0.1098           0.1072           0.0607          -0.0465           0.0832           0.1634           0.0802           0.1088
   s007             1   39           0.0747           0.0572          -0.0175           0.1159           0.2596           0.1437           0.1006           0.2185           0.1179           0.0412           0.1703           0.1291           0.0879           0.0620          -0.0259           0.0779           0.1027           0.0248           0.0966
   s007             1   40           0.0673           0.0923           0.0250           0.0869           0.1778           0.0909           0.0913           0.1810           0.0897           0.0620           0.1684           0.1064           0.1051           0.0663          -0.0388           0.0845           0.1132           0.0287           0.0919
   s007             1   41           0.0631           0.0929           0.0298           0.1095           0.1925           0.0830           0.0861           0.1768           0.0907           0.0686           0.1684           0.0998           0.0912           0.0518          -0.0394           0.0766           0.4238           0.3472           0.1196
   s007             1   42           0.0826           0.0984           0.0158           0.1037           0.1885           0.0848           0.0932           0.1784           0.0852           0.0618           0.1494           0.0876           0.0935           0.0663          -0.0272           0.0943           0.1101           0.0158           0.1264
   s007             1   43           0.0731           0.1198           0.0467           0.0908           0.2112           0.1204           0.0913           0.1836           0.0923           0.0578           0.1597           0.1019           0.0922           0.0539          -0.0383           0.0996           0.1281           0.0285           0.1190
   s007             1   44           0.0647           0.1193           0.0546           0.1043           0.1870           0.0827           0.0842           0.1586           0.0744           0.0565           0.1684           0.1119           0.0950           0.0615          -0.0335           0.0998           0.1164           0.0166           0.1056
   s007             1   45           0.0584           0.1235           0.0651           0.0982           0.1727           0.0745           0.0969           0.1489           0.0520           0.0731           0.1776           0.1045           0.1006           0.0531          -0.0475           0.0927           0.1354           0.0427           0.0990
   s007             1   46           0.0684           0.2019           0.1335           0.1035           0.3799           0.2764           0.0892           0.2018           0.1126           0.0705           0.1874           0.1169           0.1114           0.0676          -0.0438           0.0913           0.1480           0.0567           0.1059
   s007             1   47           0.0636           0.0691           0.0055           0.0842           0.1922           0.1080           0.0898           0.1916           0.1018           0.0515           0.1626           0.1111           0.0851           0.0568          -0.0283           0.0827           0.1143           0.0316           0.0953
   s007             1   48           0.0839           0.0976           0.0137           0.0945           0.1904           0.0959           0.1101           0.2172           0.1071           0.0536           0.1687           0.1151           0.0871           0.0541          -0.0330           0.1024           0.1166           0.0142           0.0995
   s007             1   49           0.0668           0.0847           0.0179           0.0847           0.1764           0.0917           0.0961           0.1948           0.0987           0.0573           0.1753           0.1180           0.1011           0.0657          -0.0354           0.0945           0.1103           0.0158           0.0842
   s007             1   50           0.0547           0.0924           0.0377           0.0916           0.1870           0.0954           0.1135           0.1947           0.0812           0.0449           0.1500           0.1051           0.0813           0.0478          -0.0335           0.0929           0.1314           0.0385           0.0927
   s007             2    1           0.1133           0.0646          -0.0487           0.0838           0.1678           0.0840           0.0890           0.1531           0.0641           0.0562           0.1378           0.0816           0.0972           0.0589          -0.0383           0.0832           0.1090           0.0258           0.0779
   s007             2    2           0.0774           0.1053           0.0279           0.0718           0.1524           0.0806           0.0845           0.1568           0.0723           0.0681           0.1494           0.0813           0.1019           0.0647          -0.0372           0.0921           0.1438           0.0517           0.0710
   s007             2    3           0.0700           0.0768           0.0068           0.0800           0.1725           0.0925           0.0974           0.1802           0.0828           0.0694           0.1497           0.0803           0.1030           0.0636          -0.0394           0.0904           0.4746           0.3842           0.0837
   s007             2    4           0.0541           0.1546           0.1005           0.0679           0.1612           0.0933           0.0834           0.1691           0.0857           0.0679           0.1476           0.0797           0.1049           0.0642          -0.0407           0.0819           0.1027           0.0208           0.0966
   s007             2    5           0.0858           0.0913           0.0055           0.0871           0.1608           0.0737           0.0977           0.1895           0.0918           0.0628           0.1702           0.1074           0.1156           0.0710          -0.0446           0.0840           0.1502           0.0662           0.0866
   s007             2    6           0.1014           0.1383           0.0369           0.0613           0.1699           0.1086           0.0940           0.1821           0.0881           0.0726           0.1481           0.0755           0.1193           0.0752          -0.0441           0.0877           0.1304           0.0427           0.0869
   s007             2    7           0.0747           0.1127           0.0380           0.0660           0.1619           0.0959           0.0927           0.1866           0.0939           0.0665           0.1958           0.1293           0.0700           0.0233          -0.0467           0.0897           0.2541           0.1644           0.1193
   s007             2    8           0.0710           0.0995           0.0285           0.0824           0.2276           0.1452           0.0874           0.1919           0.1045           0.0694           0.1584           0.0890           0.0966           0.0636          -0.0330           0.0808           0.1409           0.0601           0.1066
   s007             2    9           0.0613           0.1061           0.0448           0.0570           0.1613           0.1043           0.0908           0.2098           0.1190           0.0702           0.1716           0.1014           0.0985           0.0636          -0.0349           0.0772           0.2614           0.1842           0.0771
   s007             2   10           0.0676           0.0633          -0.0043           0.0687           0.1791           0.1104           0.0829           0.1839           0.1010           0.0721           0.1584           0.0863           0.1109           0.0752          -0.0357           0.0809           0.1869           0.1060           0.0813
   s007             2   11           0.0774           0.1188           0.0414           0.0850           0.1542           0.0692           0.0858           0.1834           0.0976           0.0681           0.1418           0.0737           0.1072           0.0721          -0.0351           0.0771           0.2064           0.1293           0.0879
   s007             2   12           0.0934           0.1095           0.0161           0.0628           0.1489           0.0861           0.0718           0.1541           0.0823           0.0636           0.1462           0.0826           0.1151           0.0676          -0.0475           0.0869           0.1265           0.0396           0.0871
   s007             2   13           0.0900           0.1137           0.0237           0.0726           0.1672           0.0946           0.0934           0.2013           0.1079           0.0663           0.1460           0.0797           0.1162           0.0750          -0.0412           0.0858           0.1594           0.0736           0.0850
   s007             2   14           0.0818           0.1472           0.0654           0.0665           0.1671           0.1006           0.0855           0.1979           0.1124           0.0665           0.1483           0.0818           0.1054           0.0684          -0.0370           0.0830           0.0959           0.0129           0.0890
   s007             2   15           0.0787           0.1098           0.0311           0.0705           0.2192           0.1487           0.0085           0.0776           0.0691           0.0734           0.1909           0.1175           0.0861           0.0491          -0.0370           0.0803           0.1294           0.0491           0.0837
   s007             2   16           0.0792           0.1319           0.0527           0.0626           0.1471           0.0845           0.0813           0.1792           0.0979           0.0650           0.1526           0.0876           0.0927           0.0544          -0.0383           0.0737           0.1101           0.0364           0.0850
   s007             2   17           0.0681           0.1335           0.0654           0.0655           0.1638           0.0983           0.0681           0.1739           0.1058           0.0708           0.1547           0.0839           0.1030           0.0718          -0.0312           0.0624           0.1120           0.0496           0.0834
   s007             2   18           0.0953           0.1504           0.0551           0.0623           0.1664           0.1041           0.0969           0.1921           0.0952           0.0591           0.1739           0.1148           0.0876           0.0636          -0.0240           0.0430           0.1483           0.1053           0.0660
   s007             2   19           0.0779           0.1246           0.0467           0.0673           0.1701           0.1028           0.0755           0.1726           0.0971           0.0652           0.1505           0.0853           0.1072           0.0731          -0.0341           0.0671           0.1130           0.0459           0.1114
   s007             2   20           0.0715           0.1915           0.1200           0.0420           0.1347           0.0927           0.0995           0.1815           0.0820           0.0689           0.1494           0.0805           0.1296           0.1069          -0.0227           0.0409           0.0760           0.0351           0.1309
   s007             2   21           0.0950           0.1063           0.0113           0.1373           0.1860           0.0487           0.0903           0.1457           0.0554           0.0821           0.1523           0.0702           0.1040           0.0747          -0.0293           0.0753           0.1270           0.0517           0.0797
   s007             2   22           0.0665           0.6254           0.5589           0.0934           0.2088           0.1154           0.0890           0.1610           0.0720           0.0663           0.1212           0.0549           0.1159           0.0847          -0.0312           0.0703           0.1407           0.0704           0.0620
   s007             2   23           0.0882           0.0607          -0.0275           0.0750           0.1778           0.1028           0.0737           0.1542           0.0805           0.0737           0.1492           0.0755           0.1022           0.0584          -0.0438           0.0686           0.1216           0.0530           0.0900
   s007             2   24           0.0913           0.0733          -0.0180           0.0850           0.1730           0.0880           0.0898           0.1613           0.0715           0.0650           0.1413           0.0763           0.1028           0.0481          -0.0547           0.0793           0.1191           0.0398           0.0771
   s007             2   25           0.0731           0.1372           0.0641           0.0734           0.1622           0.0888           0.0826           0.1633           0.0807           0.0705           0.1344           0.0639           0.1059           0.0576          -0.0483           0.0863           0.1451           0.0588           0.0758
   s007             2   26           0.0644           0.1404           0.0760           0.0610           0.1527           0.0917           0.0898           0.1747           0.0849           0.0713           0.1655           0.0942           0.1046           0.0610          -0.0436           0.0798           0.1328           0.0530           0.0647
   s007             2   27           0.0816           0.1399           0.0583           0.0792           0.1703           0.0911           0.0882           0.1581           0.0699           0.0744           0.1597           0.0853           0.1056           0.0731          -0.0325           0.0816           0.1122           0.0306           0.0742
   s007             2   28           0.0803           0.4352           0.3549           0.0861           0.1817           0.0956           0.0813           0.1736           0.0923           0.0774           0.1632           0.0858           0.0998           0.0573          -0.0425           0.0745           0.1088           0.0343           0.0855
   s007             2   29           0.0953           0.0839          -0.0114           0.0845           0.1719           0.0874           0.0744           0.1432           0.0688           0.0684           0.1339           0.0655           0.1080           0.0739          -0.0341           0.0713           0.1161           0.0448           0.0940
   s007             2   30           0.0686           0.1208           0.0522           0.0755           0.1920           0.1165           0.0884           0.1673           0.0789           0.0842           0.1402           0.0560           0.1172           0.0837          -0.0335           0.0665           0.1623           0.0958           0.0956
   s007             2   31           0.0766           0.1164           0.0398           0.0982           0.1680           0.0698           0.0768           0.1340           0.0572           0.0700           0.1645           0.0945           0.1128           0.0874          -0.0254           0.0632           0.4556           0.3924           0.0763
   s007             2   32           0.0803           0.1375           0.0572           0.0979           0.1539           0.0560           0.0700           0.1476           0.0776           0.0821           0.1734           0.0913           0.0892           0.0401          -0.0491           0.0726           0.1515           0.0789           0.1024
   s007             2   33           0.0940           0.1789           0.0849           0.0692           0.5034           0.4342           0.0354           0.1628           0.1274           0.0718           0.1602           0.0884           0.0946           0.0618          -0.0328           0.0693           0.1038           0.0345           0.0858
   s007             2   34           0.0839           0.1126           0.0287           0.0781           0.1481           0.0700           0.0787           0.1407           0.0620           0.0787           0.1597           0.0810           0.0987           0.0467          -0.0520           0.1027           0.1275           0.0248           0.1156
   s007             2   35           0.0948           0.1006           0.0058           0.0747           0.1555           0.0808           0.0739           0.1166           0.0427           0.0797           0.1819           0.1022           0.1003           0.0504          -0.0499           0.0837           0.1945           0.1108           0.1285
   s007             2   36           0.0883           0.0871          -0.0012           0.0677           0.1596           0.0919           0.0739           0.1520           0.0781           0.0681           0.1726           0.1045           0.0977           0.0784          -0.0193           0.0463           0.1141           0.0678           0.0990
   s007             2   37           0.0872           0.0641          -0.0231           0.0830           0.1731           0.0901           0.0792           0.1441           0.0649           0.0684           0.1513           0.0829           0.1024           0.0533          -0.0491           0.0811           0.1272           0.0461           0.0905
   s007             2   38           0.0816           0.1022           0.0206           0.0731           0.1539           0.0808           0.1024           0.1699           0.0675           0.0744           0.1346           0.0602           0.0942           0.0533          -0.0409           0.0829           0.1465           0.0636           0.0847
   s007             2   39           0.0922           0.0596          -0.0326           0.0856           0.1577           0.0721           0.0729           0.1259           0.0530           0.0760           0.1605           0.0845           0.1078           0.0626          -0.0452           0.0843           0.1410           0.0567           0.1275
   s007             2   40           0.0776           0.0580          -0.0196           0.0869           0.1741           0.0872           0.0839           0.1670           0.0831           0.0718           0.1344           0.0626           0.1202           0.0700          -0.0502           0.0803           0.1288           0.0485           0.0977
   s007             2   41           0.0652           0.0900           0.0248           0.0573           0.1347           0.0774           0.0839           0.1694           0.0855           0.0702           0.1320           0.0618           0.1132           0.0694          -0.0438           0.0752           0.1847           0.1095           0.0929
   s007             2   42           0.0660           0.1026           0.0366           0.0177           0.1297           0.1120           0.0673           0.2446           0.1773           0.0779           0.1603           0.0824           0.1188           0.0726          -0.0462           0.0747           0.1583           0.0836           0.0876
   s007             2   43           0.0636           0.1665           0.1029           0.0845           0.1880           0.1035           0.0613           0.1444           0.0831           0.0700           0.1500           0.0800           0.1000           0.0599          -0.0401           0.0837           0.1333           0.0496           0.0927
   s007             2   44           0.0528           0.2433           0.1905           0.0940           0.2899           0.1959           0.0929           0.1646           0.0717           0.0789           0.1594           0.0805           0.1094           0.0679          -0.0415           0.0930           0.1405           0.0475           0.0805
   s007             2   45           0.0676           0.0554          -0.0122           0.0837           0.1849           0.1012           0.0826           0.1390           0.0564           0.0792           0.1777           0.0985           0.1074           0.0591          -0.0483           0.0869           0.1478           0.0609           0.0869
   s007             2   46           0.0737           0.0927           0.0190           0.0816           0.1640           0.0824           0.0789           0.1591           0.0802           0.0731           0.1629           0.0898           0.0969           0.0525          -0.0444           0.0872           0.1608           0.0736           0.0900
   s007             2   47           0.0814           0.0802          -0.0012           0.0904           0.1852           0.0948           0.0839           0.1622           0.0783           0.0676           0.1513           0.0837           0.1062           0.0552          -0.0510           0.0880           0.1590           0.0710           0.0932
   s007             2   48           0.0713           0.1167           0.0454           0.0668           0.1556           0.0888           0.0874           0.1745           0.0871           0.0742           0.1455           0.0713           0.1117           0.0792          -0.0325           0.0732           0.1067           0.0335           0.1111
   s007             2   49           0.0660           0.0866           0.0206           0.0787           0.1672           0.0885           0.0966           0.1776           0.0810           0.0731           0.1457           0.0726           0.1098           0.0726          -0.0372           0.0692           0.2090           0.1398           0.1264
   s007             2   50           0.0988           0.0467          -0.0521           0.0969           0.1693           0.0724           0.0971           0.1493           0.0522           0.0671           0.1331           0.0660           0.0951           0.0515          -0.0436           0.0819           0.1117           0.0298           0.0934
   s007             3    1           0.0771           0.0290          -0.0481           0.0771           0.1640           0.0869           0.0647           0.1346           0.0699           0.0639           0.1542           0.0903           0.0964           0.0618          -0.0346           0.0845           0.1159           0.0314           0.0863
   s007             3    2           0.0673           0.0659          -0.0014           0.0700           0.1437           0.0737           0.0760           0.1364           0.0604           0.0562           0.1367           0.0805           0.0816           0.0438          -0.0378           0.0993           0.1040           0.0047           0.1053
   s007             3    3           0.0657           0.0738           0.0081           0.0776           0.1516           0.0740           0.0686           0.1480           0.0794           0.0628           0.1417           0.0789           0.0838           0.0473          -0.0365           0.0880           0.1151           0.0271           0.0898
   s007             3    4           0.0399           0.0565           0.0166           0.0676           0.1524           0.0848           0.0631           0.1385           0.0754           0.0618           0.1362           0.0744           0.0935           0.0555          -0.0380           0.0937           0.0852          -0.0085           0.1069
   s007             3    5           0.0713           0.1087           0.0374           0.0758           0.1366           0.0608           0.0913           0.1884           0.0971           0.0613           0.1495           0.0882           0.0909           0.0531          -0.0378           0.0740           0.1101           0.0361           0.0905
   s007             3    6           0.0803           0.1125           0.0322           0.0655           0.1548           0.0893           0.0974           0.2193           0.1219           0.0444           0.1426           0.0982           0.1085           0.0694          -0.0391           0.0777           0.1289           0.0512           0.1003
   s007             3    7           0.0760           0.1163           0.0403           0.0863           0.1400           0.0537           0.0816           0.1552           0.0736           0.0731           0.1465           0.0734           0.0998           0.0620          -0.0378           0.0893           0.0998           0.0105           0.0993
   s007             3    8           0.0771           0.1370           0.0599           0.0726           0.1548           0.0822           0.0803           0.1460           0.0657           0.0752           0.1518           0.0766           0.1004           0.0684          -0.0320           0.0758           0.0958           0.0200           0.1016
   s007             3    9           0.0792           0.1367           0.0575           0.0945           0.1366           0.0421           0.0758           0.1499           0.0741           0.0650           0.1500           0.0850           0.1033           0.0774          -0.0259           0.0703           0.0977           0.0274           0.1117
   s007             3   10           0.0705           0.1087           0.0382           0.0805           0.1558           0.0753           0.0779           0.1774           0.0995           0.0584           0.1508           0.0924           0.1101           0.0657          -0.0444           0.0761           0.1017           0.0256           0.0937
   s007             3   11           0.0634           0.1146           0.0512           0.0818           0.1555           0.0737           0.0515           0.1459           0.0944           0.0644           0.1481           0.0837           0.1106           0.0760          -0.0346           0.0808           0.0937           0.0129           0.1457
   s007             3   12           0.0715           0.1266           0.0551           0.1080           0.1598           0.0518           0.0660           0.1285           0.0625           0.0781           0.1441           0.0660           0.1347           0.0969          -0.0378           0.0838           0.0875           0.0037           0.1146
   s007             3   13           0.0935           0.0768          -0.0167           0.1130           0.1540           0.0410           0.1130           0.1671           0.0541           0.0853           0.1378           0.0525           0.1185           0.0810          -0.0375           0.0829           0.1451           0.0622           0.0948
   s007             3   14           0.0742           0.1111           0.0369           0.0927           0.1575           0.0648           0.0766           0.1367           0.0601           0.0816           0.1489           0.0673           0.1001           0.0626          -0.0375           0.0871           0.1454           0.0583           0.0961
   s007             3   15           0.0723           0.0873           0.0150           0.0905           0.1597           0.0692           0.0744           0.1620           0.0876           0.0681           0.1259           0.0578           0.1170           0.0766          -0.0404           0.0784           0.1048           0.0264           0.1064
   s007             3   16           0.0737           0.1103           0.0366           0.1003           0.1674           0.0671           0.0639           0.1528           0.0889           0.0618           0.1394           0.0776           0.1033           0.0613          -0.0420           0.0726           0.1045           0.0319           0.0921
   s007             3   17           0.0755           0.1230           0.0475           0.0908           0.1582           0.0674           0.0679           0.1579           0.0900           0.0631           0.1397           0.0766           0.0969           0.0607          -0.0362           0.0877           0.1064           0.0187           0.1022
   s007             3   18           0.0710           0.1224           0.0514           0.0903           0.1347           0.0444           0.0718           0.1612           0.0894           0.0639           0.1452           0.0813           0.0959           0.0689          -0.0270           0.0774           0.0829           0.0055           0.0900
   s007             3   19           0.0744           0.1403           0.0659           0.1140           0.1476           0.0336           0.0665           0.1612           0.0947           0.0702           0.1505           0.0803           0.0921           0.0591          -0.0330           0.0858           0.0924           0.0066           0.0966
   s007             3   20           0.0726           0.1048           0.0322           0.0739           0.1387           0.0648           0.0686           0.1583           0.0897           0.0644           0.1552           0.0908           0.1009           0.0584          -0.0425           0.0774           0.1243           0.0469           0.1008
   s007             3   21           0.0576           0.0784           0.0208           0.0792           0.1556           0.0764           0.0565           0.1628           0.1063           0.0660           0.1494           0.0834           0.1069           0.0644          -0.0425           0.0776           0.1082           0.0306           0.1146
   s007             3   22           0.0634           0.1512           0.0878           0.1019           0.1558           0.0539           0.0694           0.1485           0.0791           0.0679           0.1368           0.0689           0.1001           0.0655          -0.0346           0.0763           0.1837           0.1074           0.0507
   s007             3   23           0.0650           0.1299           0.0649           0.0800           0.1495           0.0695           0.0729           0.1573           0.0844           0.0652           0.1394           0.0742           0.1057           0.0642          -0.0415           0.0803           0.1156           0.0353           0.1080
   s007             3   24           0.0742           0.1393           0.0651           0.0734           0.1374           0.0640           0.0718           0.1538           0.0820           0.0731           0.1183           0.0452           0.1220           0.0771          -0.0449           0.0843           0.1104           0.0261           0.0760
   s007             3   25           0.0932           0.1093           0.0161           0.0792           0.1627           0.0835           0.0752           0.1520           0.0768           0.0718           0.1283           0.0565           0.1049           0.0787          -0.0262           0.0682           0.0761           0.0079           0.1037
   s007             3   26           0.0774           0.0551          -0.0223           0.0801           0.1261           0.0460           0.0610           0.1304           0.0694           0.0692           0.1568           0.0876           0.0795           0.0489          -0.0306           0.0586           0.0784           0.0198           0.1027
   s007             3   27           0.0631           0.1515           0.0884           0.0752           0.1336           0.0584           0.0634           0.1246           0.0612           0.0620           0.1283           0.0663           0.0925           0.0597          -0.0328           0.0790           0.1011           0.0221           0.1185
   s007             3   28           0.0795           0.1613           0.0818           0.0723           0.1239           0.0516           0.0655           0.1351           0.0696           0.0634           0.1381           0.0747           0.0895           0.0723          -0.0172           0.0637           0.1093           0.0456           0.1132
   s007             3   29           0.0797           0.1464           0.0667           0.0792           0.1677           0.0885           0.0607           0.1525           0.0918           0.0684           0.1418           0.0734           0.1146           0.4031           0.2885           0.0605           0.1563           0.0958           0.1064
   s007             3   30           0.0734           0.1198           0.0464           0.0705           0.1165           0.0460           0.0781           0.1282           0.0501           0.0739           0.1470           0.0731           0.1069           0.0430          -0.0639           0.1267           0.1594           0.0327           0.0758
   s007             3   31           0.0774           0.2463           0.1689           0.1077           0.1516           0.0439           0.0309           0.1129           0.0820           0.0937           0.1317           0.0380           0.1104           0.0832          -0.0272           0.0922           0.1196           0.0274           0.0956
   s007             3   32           0.0805           0.2050           0.1245           0.1130           0.1664           0.0534           0.0531           0.1378           0.0847           0.0673           0.1428           0.0755           0.1012           0.0671          -0.0341           0.0951           0.1595           0.0644           0.1130
   s007             3   33           0.0615           0.1158           0.0543           0.0964           0.1464           0.0500           0.0597           0.1357           0.0760           0.0679           0.1463           0.0784           0.1093           0.0747          -0.0346           0.0811           0.1476           0.0665           0.0919
   s007             3   34           0.1003           0.2889           0.1886           0.1325           0.1379           0.0054           0.0813           0.1805           0.0992           0.0784           0.4136           0.3352           0.1687           0.0388          -0.1299           0.1357           0.3616           0.2259           0.1082
   s007             3   35           0.0871           0.1148           0.0277           0.0628           0.1273           0.0645           0.0489           0.1125           0.0636           0.0623           0.1597           0.0974           0.0982           0.0768          -0.0214           0.0581           0.1164           0.0583           0.1056
   s007             3   36           0.0647           0.1388           0.0741           0.0895           0.1461           0.0566           0.0549           0.1470           0.0921           0.0631           0.1526           0.0895           0.0978           0.0555          -0.0423           0.0756           0.1561           0.0805           0.1106
   s007             3   37           0.0639           0.1734           0.1095           0.0948           0.1435           0.0487           0.0713           0.1433           0.0720           0.0718           0.1484           0.0766           0.1204           0.0668          -0.0536           0.0908           0.1008           0.0100           0.1241
